beta,omega,steady_time
0.15306122448979592,1.969387755102041,149.99
0.15306122448979592,2.0612244897959187,149.99
0.15306122448979592,2.1530612244897958,149.99
0.15306122448979592,2.2448979591836737,149.99
0.15306122448979592,2.336734693877551,149.99
0.15306122448979592,2.428571428571429,149.99
0.15306122448979592,2.5204081632653064,149.99
0.15306122448979592,2.612244897959184,149.99
0.15306122448979592,2.7040816326530615,149.99
0.15306122448979592,2.795918367346939,149.99
0.15306122448979592,2.8877551020408165,149.99
0.15306122448979592,2.979591836734694,34.800000000000004
0.15306122448979592,3.0714285714285716,38.35
0.15306122448979592,3.163265306122449,38.45
0.15306122448979592,3.2551020408163267,35.22
0.15306122448979592,3.3469387755102042,31.13
0.15306122448979592,3.438775510204082,28.900000000000002
0.15306122448979592,3.5306122448979593,30.89
0.15306122448979592,3.622448979591837,28.89
0.15306122448979592,3.7142857142857144,31.17
0.15306122448979592,3.806122448979592,33.7
0.15306122448979592,3.8979591836734695,33.99
0.15306122448979592,3.989795918367347,33.77
0.15306122448979592,4.081632653061225,31.36
0.15306122448979592,4.173469387755102,29.060000000000002
0.15306122448979592,4.26530612244898,29.1
0.15306122448979592,4.357142857142858,31.14
0.15306122448979592,4.448979591836735,29.150000000000002
0.15306122448979592,4.540816326530613,29.240000000000002
0.15306122448979592,4.63265306122449,29.27
0.15306122448979592,4.724489795918368,29.330000000000002
0.15306122448979592,4.816326530612245,29.330000000000002
0.15306122448979592,4.908163265306123,29.3
0.15306122448979592,5.0,29.27
0.18367346938775508,0.5,149.99
0.18367346938775508,0.5918367346938775,149.99
0.18367346938775508,0.6836734693877551,149.99
0.18367346938775508,0.7755102040816326,149.99
0.18367346938775508,0.8673469387755102,70.14
0.18367346938775508,0.9591836734693877,47.18
0.18367346938775508,1.0510204081632653,51.65
0.18367346938775508,1.1428571428571428,56.06
0.18367346938775508,1.2346938775510203,54.21
0.18367346938775508,1.3265306122448979,52.65
0.18367346938775508,1.4183673469387754,56.4
0.18367346938775508,1.5102040816326532,61.56
0.18367346938775508,1.6020408163265307,98.31
0.18367346938775508,1.6938775510204083,149.99
0.18367346938775508,1.7857142857142858,149.99
0.18367346938775508,1.8775510204081634,149.99
0.18367346938775508,1.969387755102041,149.99
0.18367346938775508,2.0612244897959187,25.62
0.18367346938775508,2.1530612244897958,149.99
0.18367346938775508,2.2448979591836737,73.27
0.18367346938775508,2.336734693877551,149.99
0.18367346938775508,2.428571428571429,149.99
0.18367346938775508,2.5204081632653064,149.99
0.18367346938775508,2.612244897959184,149.99
0.18367346938775508,2.7040816326530615,149.99
0.18367346938775508,2.795918367346939,149.99
0.18367346938775508,2.8877551020408165,149.99
0.18367346938775508,2.979591836734694,149.99
0.18367346938775508,3.0714285714285716,56.01
0.18367346938775508,3.163265306122449,44.27
0.18367346938775508,3.2551020408163267,33.84
0.18367346938775508,3.3469387755102042,31.09
0.18367346938775508,3.438775510204082,28.740000000000002
0.18367346938775508,3.5306122448979593,30.71
0.18367346938775508,3.622448979591837,28.64
0.18367346938775508,3.7142857142857144,28.95
0.18367346938775508,3.806122448979592,29.330000000000002
0.18367346938775508,3.8979591836734695,31.720000000000002
0.18367346938775508,3.989795918367347,33.71
0.18367346938775508,4.081632653061225,31.3
0.18367346938775508,4.173469387755102,28.94
0.18367346938775508,4.26530612244898,28.900000000000002
0.18367346938775508,4.357142857142858,29.02
0.18367346938775508,4.448979591836735,28.95
0.18367346938775508,4.540816326530613,28.990000000000002
0.18367346938775508,4.63265306122449,29.05
0.18367346938775508,4.724489795918368,29.11
0.18367346938775508,4.816326530612245,29.150000000000002
0.18367346938775508,4.908163265306123,29.150000000000002
0.18367346938775508,5.0,29.13
0.21428571428571427,0.5,149.99
0.21428571428571427,0.5918367346938775,149.99
0.21428571428571427,0.6836734693877551,42.72
0.21428571428571427,0.7755102040816326,70.68
0.21428571428571427,0.8673469387755102,149.99
0.21428571428571427,0.9591836734693877,67.5
0.21428571428571427,1.0510204081632653,62.17
0.21428571428571427,1.1428571428571428,52.15
0.21428571428571427,1.2346938775510203,55.11
0.21428571428571427,1.3265306122448979,48.45
0.21428571428571427,1.4183673469387754,67.71000000000001
0.21428571428571427,1.5102040816326532,81.23
0.21428571428571427,1.6020408163265307,149.99
0.21428571428571427,1.6938775510204083,149.99
0.21428571428571427,1.7857142857142858,149.99
0.21428571428571427,1.8775510204081634,149.99
0.21428571428571427,1.969387755102041,149.99
0.21428571428571427,2.0612244897959187,149.99
0.21428571428571427,2.1530612244897958,149.99
0.21428571428571427,2.2448979591836737,149.99
0.21428571428571427,2.336734693877551,149.99
0.21428571428571427,2.428571428571429,149.99
0.21428571428571427,2.5204081632653064,149.99
0.21428571428571427,2.612244897959184,149.99
0.21428571428571427,2.7040816326530615,149.99
0.21428571428571427,2.795918367346939,149.99
0.21428571428571427,2.8877551020408165,20.900000000000002
0.21428571428571427,2.979591836734694,149.99
0.21428571428571427,3.0714285714285716,37.88
0.21428571428571427,3.163265306122449,43.15
0.21428571428571427,3.2551020408163267,39.65
0.21428571428571427,3.3469387755102042,31.150000000000002
0.21428571428571427,3.438775510204082,28.73
0.21428571428571427,3.5306122448979593,30.6
0.21428571428571427,3.622448979591837,28.5
0.21428571428571427,3.7142857142857144,26.47
