delta,alpha,steady_time
0.061224489795918366,0.2755102040816326,93.85000000000001
0.061224489795918366,0.3163265306122448,9.76
0.061224489795918366,0.3571428571428571,123.17
0.061224489795918366,0.3979591836734693,121.48
0.061224489795918366,0.43877551020408156,115.81
0.061224489795918366,0.47959183673469385,115.14
0.061224489795918366,0.5204081632653061,119.93
0.061224489795918366,0.5612244897959182,119.71000000000001
0.061224489795918366,0.6020408163265305,113.92
0.061224489795918366,0.6428571428571428,113.54
0.061224489795918366,0.6836734693877551,113.52
0.061224489795918366,0.7244897959183672,118.15
0.061224489795918366,0.7653061224489794,118.2
0.061224489795918366,0.8061224489795917,118.16
0.061224489795918366,0.846938775510204,118.01
0.061224489795918366,0.8877551020408163,113.28
0.061224489795918366,0.9285714285714284,112.47
0.061224489795918366,0.9693877551020407,112.22
0.061224489795918366,1.010204081632653,112.06
0.061224489795918366,1.0510204081632653,111.95
0.061224489795918366,1.0918367346938773,111.88
0.061224489795918366,1.1326530612244896,111.84
0.061224489795918366,1.173469387755102,111.82000000000001
0.061224489795918366,1.2142857142857142,111.81
0.061224489795918366,1.2551020408163265,111.8
0.061224489795918366,1.2959183673469385,111.78
0.061224489795918366,1.3367346938775508,111.76
0.061224489795918366,1.3775510204081631,111.71000000000001
0.061224489795918366,1.4183673469387754,111.21000000000001
0.061224489795918366,1.4591836734693877,111.13
0.061224489795918366,1.5,111.04
0.07142857142857142,-0.5,124.96000000000001
0.07142857142857142,-0.45918367346938777,128.61
0.07142857142857142,-0.41836734693877553,140.4
0.07142857142857142,-0.37755102040816324,123.31
0.07142857142857142,-0.33673469387755106,129.63
0.07142857142857142,-0.29591836734693877,16.71
0.07142857142857142,-0.25510204081632654,120.02
0.07142857142857142,-0.2142857142857143,115.2
0.07142857142857142,-0.17346938775510207,116.83
0.07142857142857142,-0.13265306122448983,36.21
0.07142857142857142,-0.0918367346938776,141.4
0.07142857142857142,-0.05102040816326536,68.54
0.07142857142857142,-0.010204081632653073,65.12
0.07142857142857142,0.030612244897959107,149.99
0.07142857142857142,0.0714285714285714,34.68
0.07142857142857142,0.11224489795918358,73.93
0.07142857142857142,0.15306122448979587,74.73
0.07142857142857142,0.19387755102040816,74.13
0.07142857142857142,0.23469387755102034,70.48
0.07142857142857142,0.2755102040816326,87.88
0.07142857142857142,0.3163265306122448,64.02
0.07142857142857142,0.3571428571428571,102.83
0.07142857142857142,0.3979591836734693,101.10000000000001
0.07142857142857142,0.43877551020408156,105.73
0.07142857142857142,0.47959183673469385,99.52
0.07142857142857142,0.5204081632653061,104.36
0.07142857142857142,0.5612244897959182,104.17
0.07142857142857142,0.6020408163265305,98.41
0.07142857142857142,0.6428571428571428,97.97
0.07142857142857142,0.6836734693877551,97.91
0.07142857142857142,0.7244897959183672,102.64
0.07142857142857142,0.7653061224489794,102.65
0.07142857142857142,0.8061224489795917,102.58
0.07142857142857142,0.846938775510204,102.42
0.07142857142857142,0.8877551020408163,97.52
0.07142857142857142,0.9285714285714284,96.77
0.07142857142857142,0.9693877551020407,96.56
0.07142857142857142,1.010204081632653,96.41
0.07142857142857142,1.0510204081632653,96.31
0.07142857142857142,1.0918367346938773,96.25
0.07142857142857142,1.1326530612244896,96.21000000000001
0.07142857142857142,1.173469387755102,96.19
0.07142857142857142,1.2142857142857142,96.16
0.07142857142857142,1.2551020408163265,96.14
0.07142857142857142,1.2959183673469385,96.11
0.07142857142857142,1.3367346938775508,96.06
0.07142857142857142,1.3775510204081631,96.0
0.07142857142857142,1.4183673469387754,95.51
0.07142857142857142,1.4591836734693877,95.42
0.07142857142857142,1.5,95.33
0.08163265306122448,-0.5,132.34
0.08163265306122448,-0.45918367346938777,104.88
