alpha,omega,steady_time
-0.25510204081632654,3.5306122448979593,3.5500000000000003
-0.25510204081632654,3.622448979591837,3.45
-0.25510204081632654,3.7142857142857144,3.37
-0.25510204081632654,3.806122448979592,3.29
-0.25510204081632654,3.8979591836734695,3.21
-0.25510204081632654,3.989795918367347,3.13
-0.25510204081632654,4.081632653061225,3.0700000000000003
-0.25510204081632654,4.173469387755102,3.0100000000000002
-0.25510204081632654,4.26530612244898,2.93
-0.25510204081632654,4.357142857142858,2.87
-0.25510204081632654,4.448979591836735,2.81
-0.25510204081632654,4.540816326530613,2.75
-0.25510204081632654,4.63265306122449,2.71
-0.25510204081632654,4.724489795918368,2.65
-0.25510204081632654,4.816326530612245,2.59
-0.25510204081632654,4.908163265306123,2.5500000000000003
-0.25510204081632654,5.0,2.5100000000000002
-0.2142857142857143,0.5,59.32
-0.2142857142857143,0.5918367346938775,35.02
-0.2142857142857143,0.6836734693877551,149.99
-0.2142857142857143,0.7755102040816326,27.45
-0.2142857142857143,0.8673469387755102,30.68
-0.2142857142857143,0.9591836734693877,33.25
-0.2142857142857143,1.0510204081632653,38.03
-0.2142857142857143,1.1428571428571428,40.86
-0.2142857142857143,1.2346938775510203,47.95
-0.2142857142857143,1.3265306122448979,37.39
-0.2142857142857143,1.4183673469387754,44.65
-0.2142857142857143,1.5102040816326532,40.5
-0.2142857142857143,1.6020408163265307,40.0
-0.2142857142857143,1.6938775510204083,42.04
-0.2142857142857143,1.7857142857142858,45.74
-0.2142857142857143,1.8775510204081634,29.39
-0.2142857142857143,1.969387755102041,42.32
-0.2142857142857143,2.0612244897959187,149.99
-0.2142857142857143,2.1530612244897958,149.99
-0.2142857142857143,2.2448979591836737,22.34
-0.2142857142857143,2.336734693877551,14.6
-0.2142857142857143,2.428571428571429,8.73
-0.2142857142857143,2.5204081632653064,9.27
-0.2142857142857143,2.612244897959184,8.36
-0.2142857142857143,2.7040816326530615,6.04
-0.2142857142857143,2.795918367346939,4.49
-0.2142857142857143,2.8877551020408165,4.3500000000000005
-0.2142857142857143,2.979591836734694,4.21
-0.2142857142857143,3.0714285714285716,4.09
-0.2142857142857143,3.163265306122449,3.97
-0.2142857142857143,3.2551020408163267,3.85
-0.2142857142857143,3.3469387755102042,3.75
-0.2142857142857143,3.438775510204082,3.65
-0.2142857142857143,3.5306122448979593,3.5500000000000003
-0.2142857142857143,3.622448979591837,3.45
-0.2142857142857143,3.7142857142857144,3.37
-0.2142857142857143,3.806122448979592,3.29
-0.2142857142857143,3.8979591836734695,3.21
-0.2142857142857143,3.989795918367347,3.13
-0.2142857142857143,4.081632653061225,3.0700000000000003
-0.2142857142857143,4.173469387755102,3.0100000000000002
-0.2142857142857143,4.26530612244898,2.93
-0.2142857142857143,4.357142857142858,2.87
-0.2142857142857143,4.448979591836735,2.81
-0.2142857142857143,4.540816326530613,2.75
-0.2142857142857143,4.63265306122449,2.71
-0.2142857142857143,4.724489795918368,2.65
-0.2142857142857143,4.816326530612245,2.59
-0.2142857142857143,4.908163265306123,2.5500000000000003
-0.2142857142857143,5.0,2.5100000000000002
-0.17346938775510207,0.5,58.9
-0.17346938775510207,0.5918367346938775,35.19
-0.17346938775510207,0.6836734693877551,149.99
-0.17346938775510207,0.7755102040816326,27.47
-0.17346938775510207,0.8673469387755102,30.650000000000002
-0.17346938775510207,0.9591836734693877,36.26
-0.17346938775510207,1.0510204081632653,38.22
-0.17346938775510207,1.1428571428571428,37.25
-0.17346938775510207,1.2346938775510203,48.64
-0.17346938775510207,1.3265306122448979,37.300000000000004
-0.17346938775510207,1.4183673469387754,43.910000000000004
-0.17346938775510207,1.5102040816326532,40.300000000000004
-0.17346938775510207,1.6020408163265307,39.94
-0.17346938775510207,1.6938775510204083,41.82
-0.17346938775510207,1.7857142857142858,45.17
-0.17346938775510207,1.8775510204081634,35.56
-0.17346938775510207,1.969387755102041,22.330000000000002
-0.17346938775510207,2.0612244897959187,149.99
-0.17346938775510207,2.1530612244897958,149.99
-0.17346938775510207,2.2448979591836737,149.99
-0.17346938775510207,2.336734693877551,13.5
-0.17346938775510207,2.428571428571429,8.21
-0.17346938775510207,2.5204081632653064,8.63
-0.17346938775510207,2.612244897959184,8.83
-0.17346938775510207,2.7040816326530615,7.94
-0.17346938775510207,2.795918367346939,6.0600000000000005
-0.17346938775510207,2.8877551020408165,4.38
-0.17346938775510207,2.979591836734694,4.21
-0.17346938775510207,3.0714285714285716,4.09
-0.17346938775510207,3.163265306122449,3.97
-0.17346938775510207,3.2551020408163267,3.85
-0.17346938775510207,3.3469387755102042,3.75
-0.17346938775510207,3.438775510204082,3.65
-0.17346938775510207,3.5306122448979593,3.5500000000000003
-0.17346938775510207,3.622448979591837,3.45
-0.17346938775510207,3.7142857142857144,3.37
-0.17346938775510207,3.806122448979592,3.29
-0.17346938775510207,3.8979591836734695,3.21
-0.17346938775510207,3.989795918367347,3.13
-0.17346938775510207,4.081632653061225,3.0700000000000003
-0.17346938775510207,4.173469387755102,3.0100000000000002
-0.17346938775510207,4.26530612244898,2.93
-0.17346938775510207,4.357142857142858,2.87
-0.17346938775510207,4.448979591836735,2.81
-0.17346938775510207,4.540816326530613,2.75
-0.17346938775510207,4.63265306122449,2.71
-0.17346938775510207,4.724489795918368,2.65
-0.17346938775510207,4.816326530612245,2.59
-0.17346938775510207,4.908163265306123,2.5500000000000003
-0.17346938775510207,5.0,2.5100000000000002
-0.13265306122448983,0.5,58.03
-0.13265306122448983,0.5918367346938775,35.39
-0.13265306122448983,0.6836734693877551,149.99
-0.13265306122448983,0.7755102040816326,27.54
