delta,gamma,steady_time
0.15714285714285714,2.9285714285714284,50.25
0.15714285714285714,2.9693877551020407,49.95
0.15714285714285714,3.010204081632653,49.650000000000006
0.15714285714285714,3.0510204081632653,49.400000000000006
0.15714285714285714,3.091836734693877,49.2
0.15714285714285714,3.13265306122449,49.0
0.15714285714285714,3.1734693877551017,48.400000000000006
0.15714285714285714,3.2142857142857144,48.150000000000006
0.15714285714285714,3.2551020408163263,47.900000000000006
0.15714285714285714,3.2959183673469385,47.7
0.15714285714285714,3.336734693877551,47.45
0.15714285714285714,3.377551020408163,46.900000000000006
0.15714285714285714,3.4183673469387754,46.650000000000006
0.15714285714285714,3.4591836734693877,46.45
0.15714285714285714,3.5,46.300000000000004
0.1653061224489796,1.5,26.700000000000003
0.1653061224489796,1.5408163265306123,26.55
0.1653061224489796,1.5816326530612246,28.3
0.1653061224489796,1.6224489795918366,28.25
0.1653061224489796,1.663265306122449,28.0
0.1653061224489796,1.7040816326530612,29.55
0.1653061224489796,1.7448979591836735,29.450000000000003
0.1653061224489796,1.7857142857142856,28.85
0.1653061224489796,1.8265306122448979,28.35
0.1653061224489796,1.8673469387755102,28.200000000000003
0.1653061224489796,1.9081632653061225,29.650000000000002
0.1653061224489796,1.9489795918367347,32.6
0.1653061224489796,1.989795918367347,60.5
0.1653061224489796,2.0306122448979593,56.2
0.1653061224489796,2.071428571428571,54.35
0.1653061224489796,2.1122448979591835,52.900000000000006
0.1653061224489796,2.1530612244897958,51.650000000000006
0.1653061224489796,2.193877551020408,50.95
0.1653061224489796,2.2346938775510203,49.900000000000006
0.1653061224489796,2.2755102040816326,49.35
0.1653061224489796,2.316326530612245,48.45
0.1653061224489796,2.357142857142857,47.95
0.1653061224489796,2.3979591836734695,47.5
0.1653061224489796,2.4387755102040813,46.75
0.1653061224489796,2.479591836734694,46.35
0.1653061224489796,2.520408163265306,46.0
0.1653061224489796,2.561224489795918,45.300000000000004
0.1653061224489796,2.6020408163265305,44.900000000000006
0.1653061224489796,2.642857142857143,44.650000000000006
0.1653061224489796,2.683673469387755,52.6
0.1653061224489796,2.724489795918367,51.85
0.1653061224489796,2.7653061224489797,51.6
0.1653061224489796,2.8061224489795915,51.35
0.1653061224489796,2.8469387755102042,51.0
0.1653061224489796,2.887755102040816,50.6
0.1653061224489796,2.9285714285714284,50.0
0.1653061224489796,2.9693877551020407,49.75
0.1653061224489796,3.010204081632653,49.5
0.1653061224489796,3.0510204081632653,49.25
0.1653061224489796,3.091836734693877,48.7
0.1653061224489796,3.13265306122449,48.400000000000006
