gamma,omega,steady_time
1.663265306122449,3.622448979591837,22.02
1.663265306122449,3.7142857142857144,21.38
1.663265306122449,3.806122448979592,19.16
1.663265306122449,3.8979591836734695,17.06
1.663265306122449,3.989795918367347,19.94
1.663265306122449,4.081632653061225,24.37
1.663265306122449,4.173469387755102,21.94
1.663265306122449,4.26530612244898,19.86
1.663265306122449,4.357142857142858,19.84
1.663265306122449,4.448979591836735,21.8
1.663265306122449,4.540816326530613,21.650000000000002
1.663265306122449,4.63265306122449,19.62
1.663265306122449,4.724489795918368,19.57
1.663265306122449,4.816326530612245,19.62
1.663265306122449,4.908163265306123,19.67
1.663265306122449,5.0,19.740000000000002
1.7040816326530612,0.5,61.27
1.7040816326530612,0.5918367346938775,149.99
1.7040816326530612,0.6836734693877551,38.480000000000004
1.7040816326530612,0.7755102040816326,25.19
1.7040816326530612,0.8673469387755102,149.99
1.7040816326530612,0.9591836734693877,26.32
1.7040816326530612,1.0510204081632653,66.29
1.7040816326530612,1.1428571428571428,38.27
1.7040816326530612,1.2346938775510203,47.68
1.7040816326530612,1.3265306122448979,44.42
1.7040816326530612,1.4183673469387754,47.63
1.7040816326530612,1.5102040816326532,47.26
1.7040816326530612,1.6020408163265307,44.47
1.7040816326530612,1.6938775510204083,47.51
1.7040816326530612,1.7857142857142858,48.92
1.7040816326530612,1.8775510204081634,61.06
1.7040816326530612,1.969387755102041,149.99
1.7040816326530612,2.0612244897959187,149.99
1.7040816326530612,2.1530612244897958,149.99
1.7040816326530612,2.2448979591836737,149.99
1.7040816326530612,2.336734693877551,45.83
1.7040816326530612,2.428571428571429,44.83
1.7040816326530612,2.5204081632653064,149.99
1.7040816326530612,2.612244897959184,149.99
1.7040816326530612,2.7040816326530615,149.99
1.7040816326530612,2.795918367346939,8.85
1.7040816326530612,2.8877551020408165,149.99
1.7040816326530612,2.979591836734694,149.99
1.7040816326530612,3.0714285714285716,149.99
1.7040816326530612,3.163265306122449,34.230000000000004
1.7040816326530612,3.2551020408163267,37.7
1.7040816326530612,3.3469387755102042,28.94
1.7040816326530612,3.438775510204082,30.150000000000002
1.7040816326530612,3.5306122448979593,29.59
1.7040816326530612,3.622448979591837,22.18
1.7040816326530612,3.7142857142857144,21.45
1.7040816326530612,3.806122448979592,19.18
1.7040816326530612,3.8979591836734695,16.990000000000002
1.7040816326530612,3.989795918367347,19.81
1.7040816326530612,4.081632653061225,24.330000000000002
1.7040816326530612,4.173469387755102,21.94
1.7040816326530612,4.26530612244898,19.85
1.7040816326530612,4.357142857142858,19.830000000000002
1.7040816326530612,4.448979591836735,21.8
1.7040816326530612,4.540816326530613,21.650000000000002
1.7040816326530612,4.63265306122449,19.61
1.7040816326530612,4.724489795918368,19.55
1.7040816326530612,4.816326530612245,19.59
1.7040816326530612,4.908163265306123,19.63
1.7040816326530612,5.0,19.7
1.7448979591836735,0.5,69.15
1.7448979591836735,0.5918367346938775,149.99
1.7448979591836735,0.6836734693877551,149.99
1.7448979591836735,0.7755102040816326,31.150000000000002
1.7448979591836735,0.8673469387755102,149.99
1.7448979591836735,0.9591836734693877,27.71
1.7448979591836735,1.0510204081632653,41.86
1.7448979591836735,1.1428571428571428,33.85
1.7448979591836735,1.2346938775510203,51.24
1.7448979591836735,1.3265306122448979,45.18
1.7448979591836735,1.4183673469387754,45.45
1.7448979591836735,1.5102040816326532,64.18
1.7448979591836735,1.6020408163265307,42.24
1.7448979591836735,1.6938775510204083,55.7
1.7448979591836735,1.7857142857142858,50.17
1.7448979591836735,1.8775510204081634,149.99
1.7448979591836735,1.969387755102041,149.99
1.7448979591836735,2.0612244897959187,149.99
1.7448979591836735,2.1530612244897958,149.99
1.7448979591836735,2.2448979591836737,149.99
1.7448979591836735,2.336734693877551,149.99
1.7448979591836735,2.428571428571429,36.75
1.7448979591836735,2.5204081632653064,149.99
1.7448979591836735,2.612244897959184,114.58
1.7448979591836735,2.7040816326530615,82.36
1.7448979591836735,2.795918367346939,10.42
1.7448979591836735,2.8877551020408165,149.99
1.7448979591836735,2.979591836734694,149.99
1.7448979591836735,3.0714285714285716,27.78
1.7448979591836735,3.163265306122449,32.31
1.7448979591836735,3.2551020408163267,45.26
1.7448979591836735,3.3469387755102042,45.68
1.7448979591836735,3.438775510204082,25.28
1.7448979591836735,3.5306122448979593,29.900000000000002
1.7448979591836735,3.622448979591837,26.560000000000002
1.7448979591836735,3.7142857142857144,21.54
1.7448979591836735,3.806122448979592,19.21
1.7448979591836735,3.8979591836734695,16.94
1.7448979591836735,3.989795918367347,19.69
1.7448979591836735,4.081632653061225,24.28
1.7448979591836735,4.173469387755102,21.95
1.7448979591836735,4.26530612244898,19.84
1.7448979591836735,4.357142857142858,19.81
1.7448979591836735,4.448979591836735,21.8
1.7448979591836735,4.540816326530613,21.650000000000002
1.7448979591836735,4.63265306122449,19.6
1.7448979591836735,4.724489795918368,19.52
1.7448979591836735,4.816326530612245,19.56
1.7448979591836735,4.908163265306123,19.6
1.7448979591836735,5.0,19.66
1.7857142857142856,0.5,99.19
1.7857142857142856,0.5918367346938775,149.99
1.7857142857142856,0.6836734693877551,149.99
1.7857142857142856,0.7755102040816326,30.560000000000002
